Location,Account,Campaign,Platform
"92646, California, United States",CGDR,Nationwide (CA),GOOGLE
"91942, California, United States",CGDR,Nationwide (CA),GOOGLE
"91910, California, United States",CGDR,Nationwide (CA),GOOGLE
"91402, California, United States",CGDR,Nationwide (CA),GOOGLE
"95148, California, United States",CGDR,Nationwide (CA),GOOGLE
"95366, California, United States",CGDR,Nationwide (CA),GOOGLE
"94605, California, United States",CGDR,Nationwide (CA),GOOGLE
"92592, California, United States",CGDR,Nationwide (CA),GOOGLE
"92694, California, United States",CGDR,Nationwide (CA),GOOGLE
"94086, California, United States",CGDR,Nationwide (CA),GOOGLE
"92701, California, United States",CGDR,Nationwide (CA),GOOGLE
"91331, California, United States",CGDR,Nationwide (CA),GOOGLE
"95688, California, United States",CGDR,Nationwide (CA),GOOGLE
"92069, California, United States",CGDR,Nationwide (CA),GOOGLE
"90046, California, United States",CGDR,Nationwide (CA),GOOGLE
"94598, California, United States",CGDR,Nationwide (CA),GOOGLE
"91754, California, United States",CGDR,Nationwide (CA),GOOGLE
"91214, California, United States",CGDR,Nationwide (CA),GOOGLE
"91915, California, United States",CGDR,Nationwide (CA),GOOGLE
"95762, California, United States",CGDR,Nationwide (CA),GOOGLE
"95391, California, United States",CGDR,Nationwide (CA),GOOGLE
"92508, California, United States",CGDR,Nationwide (CA),GOOGLE
"95628, California, United States",CGDR,Nationwide (CA),GOOGLE
"91764, California, United States",CGDR,Nationwide (CA),GOOGLE
"93444, California, United States",CGDR,Nationwide (CA),GOOGLE
"90024, California, United States",CGDR,Nationwide (CA),GOOGLE
"91405, California, United States",CGDR,Nationwide (CA),GOOGLE
"92563, California, United States",CGDR,Nationwide (CA),GOOGLE
"91344, California, United States",CGDR,Nationwide (CA),GOOGLE
"90670, California, United States",CGDR,Nationwide (CA),GOOGLE
"90230, California, United States",CGDR,Nationwide (CA),GOOGLE
"92833, California, United States",CGDR,Nationwide (CA),GOOGLE
"92557, California, United States",CGDR,Nationwide (CA),GOOGLE
"92551, California, United States",CGDR,Nationwide (CA),GOOGLE
"92882, California, United States",CGDR,Nationwide (CA),GOOGLE
"93703, California, United States",CGDR,Nationwide (CA),GOOGLE
"90274, California, United States",CGDR,Nationwide (CA),GOOGLE
"92124, California, United States",CGDR,Nationwide (CA),GOOGLE
"90731, California, United States",CGDR,Nationwide (CA),GOOGLE
"93619, California, United States",CGDR,Nationwide (CA),GOOGLE
"93420, California, United States",CGDR,Nationwide (CA),GOOGLE
"92606, California, United States",CGDR,Nationwide (CA),GOOGLE
"93004, California, United States",CGDR,Nationwide (CA),GOOGLE
"95610, California, United States",CGDR,Nationwide (CA),GOOGLE
"90241, California, United States",CGDR,Nationwide (CA),GOOGLE
"95977, California, United States",CGDR,Nationwide (CA),GOOGLE
"92780, California, United States",CGDR,Nationwide (CA),GOOGLE
"95112, California, United States",CGDR,Nationwide (CA),GOOGLE
"93940, California, United States",CGDR,Nationwide (CA),GOOGLE
"94946, California, United States",CGDR,Nationwide (CA),GOOGLE
